Date,Yakima County,Pierce County,Snohomish County,Kittitas County,King County,Franklin County,Chelan County,Grant County,Grays Harbor County,Spokane County,Skagit County,Benton County,Kitsap County,Whatcom County,Island County,Clark County,Thurston County,Cowlitz County,Jefferson County,Clallam County,Douglas County,Stevens County,Columbia County,Mason County,Lincoln County,Klickitat County,Whitman County,Lewis County,Walla Walla County,San Juan County,Adams County,Okanogan County,Ferry County,Asotin County,Wahkiakum County,Pend Oreille County,Skamania County,Pacific County,Unassigned,Garfield County
2020-01-16,1-0-0,1-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-01-26,1-0-0,1-0-0,2-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-02-02,1-0-0,1-0-0,8-0-0,1-0-0,3-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-02-09,4-0-0,1-0-0,12-0-0,1-0-0,8-0-0,1-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-02-16,6-0-0,3-0-0,32-1-0,4-0-0,54-9-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-02-23,6-0-0,14-0-0,84-3-8,4-0-0,169-38-31,2-0-0,1-0-0,2-1-1,2-0-0,2-1-0,2-0-0,1-0-1,2-0-0,2-0-0,2-0-0,4-2-0,1-0-0,1-0-0,2-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-03-01,20-0-0,52-2-5,286-17-32,4-0-0,464-86-116,4-0-0,1-0-0,6-1-2,3-0-1,11-2-0,10-1-0,8-3-1,8-0-1,8-0-1,12-0-0,9-4-2,5-0-0,2-0-0,6-0-1,2-0-0,3-0-0,1-0-0,1-0-0,1-0-0,1-0-0,2-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-03-08,43-1-0,158-6-15,630-39-89,6-0-0,1251-143-234,10-0-1,9-1-0,42-1-3,3-0-1,49-5-1,53-2-2,25-7-6,30-0-3,35-3-5,37-1-5,39-5-3,22-1-4,10-0-1,16-0-2,7-0-0,4-1-0,2-0-0,1-0-0,2-0-0,1-0-0,2-0-0,1-0-0,3-0-1,1-0-0,1-0-0,4-0-0,3-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-03-15,119-3-6,382-13-51,1127-62-173,11-0-0,2296-228-372,28-0-5,17-3-3,75-2-7,4-0-1,141-7-10,102-3-6,83-15-12,64-0-4,107-15-18,71-3-7,96-7-11,37-1-5,18-0-5,25-0-4,10-0-1,5-1-0,2-0-1,1-0-0,9-0-0,1-0-0,8-1-1,5-0-0,13-1-1,3-0-0,4-0-1,7-0-1,4-0-0,1-0-0,2-1-0,1-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-03-22,277-20-21,625-23-103,1555-79-258,13-0-0,3397-328-597,76-3-9,29-4-4,97-2-14,7-0-2,213-16-30,145-4-14,188-32-44,100-1-7,191-22-23,142-9-13,165-13-32,68-1-9,21-0-6,28-0-5,10-0-1,13-1-3,6-1-1,1-0-0,15-0-0,1-0-0,10-2-2,8-0-0,17-2-1,8-0-0,8-0-1,19-0-5,8-1-0,1-0-0,3-1-0,2-0-0,1-0-0,2-0-0,0-0-0,0-0-0,0-0-0
