Code,Occupation,Proximity_Rating,Exposure_Rating
29-2021.00,Dental Hygienists,100,100
29-1141.01,Acute Care Nurses,95,100
29-1062.00,Family and General Practitioners,91,100
29-1063.00,"Internists, General",89,100
29-1022.00,Oral and Maxillofacial Surgeons,99,99
29-1141.03,Critical Care Nurses,94,99
29-1069.03,Hospitalists,92,99
29-2054.00,Respiratory Therapy Technicians,98,98
29-1126.00,Respiratory Therapists,93,98
31-1015.00,Orderlies,97,97
31-2012.00,Occupational Therapy Aides,91,97
29-1071.01,Anesthesiologist Assistants,88,97
31-9091.00,Dental Assistants,99,96
29-1069.12,Urologists,99,96
29-1151.00,Nurse Anesthetists,87,96
29-2011.00,Medical and Clinical Laboratory Technologists,72,96
29-1021.00,"Dentists, General",99,95
29-1124.00,Radiation Therapists,98,95
29-1141.00,Registered Nurses,94,95
29-1069.01,Allergists and Immunologists,84,95
29-1069.11,Sports Medicine Physicians,100,94
29-1064.00,Obstetricians and Gynecologists,97,94
29-2061.00,Licensed Practical and Licensed Vocational Nurses,90,94
29-1069.02,Dermatologists,98,93
29-1071.00,Physician Assistants,88,93
29-2033.00,Nuclear Medicine Technologists,86,93
29-2053.00,Psychiatric Technicians,85,93
29-1122.00,Occupational Therapists,95,92
29-1069.06,Ophthalmologists,92,92
29-1065.00,"Pediatricians, General",89,92
29-2034.00,Radiologic Technologists,89,92
31-9093.00,Medical Equipment Preparers,77,92
29-2099.06,Radiologic Technicians,96,91
31-1013.00,Psychiatric Aides,89,91
29-1199.04,Naturopathic Physicians,88,91
29-1141.04,Clinical Nurse Specialists,80,91
29-1061.00,Anesthesiologists,94,90
29-1069.08,Physical Medicine and Rehabilitation Physicians,91,90
29-2041.00,Emergency Medical Technicians and Paramedics,97,89
29-1161.00,Nurse Midwives,97,89
29-1131.00,Veterinarians,91,89
29-1024.00,Prosthodontists,98,88
31-2011.00,Occupational Therapy Assistants,82,88
21-1022.00,Healthcare Social Workers,76,88
31-9097.00,Phlebotomists,76,88
29-2099.07,Surgical Assistants,97,87
29-2032.00,Diagnostic Medical Sonographers,95,87
29-1081.00,Podiatrists,95,87
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,88,87
29-1171.00,Nurse Practitioners,85,87
31-9099.02,Endoscopy Technicians,83,87
29-1067.00,Surgeons,97,86
31-2022.00,Physical Therapist Aides,95,86
