Code,Occupation,Proximity_Rating,Exposure_Rating
27-2032.00,Choreographers,100,3
29-2021.00,Dental Hygienists,100,100
29-1123.00,Physical Therapists,100,67
29-1069.11,Sports Medicine Physicians,100,94
31-9091.00,Dental Assistants,99,96
29-1021.00,"Dentists, General",99,95
29-1022.00,Oral and Maxillofacial Surgeons,99,99
39-5094.00,Skincare Specialists,99,36
29-2055.00,Surgical Technologists,99,82
29-1069.12,Urologists,99,96
27-2031.00,Dancers,98,21
29-1069.02,Dermatologists,98,93
29-1024.00,Prosthodontists,98,88
29-1124.00,Radiation Therapists,98,95
29-2054.00,Respiratory Therapy Technicians,98,98
29-2031.00,Cardiovascular Technologists and Technicians,97,74
29-2041.00,Emergency Medical Technicians and Paramedics,97,89
29-1161.00,Nurse Midwives,97,89
29-1064.00,Obstetricians and Gynecologists,97,94
31-1015.00,Orderlies,97,97
29-1067.00,Surgeons,97,86
29-2099.07,Surgical Assistants,97,87
29-1011.00,Chiropractors,96,53
53-2031.00,Flight Attendants,96,77
29-2099.06,Radiologic Technicians,96,91
27-2011.00,Actors,95,5
29-1141.01,Acute Care Nurses,95,100
39-5011.00,Barbers,95,59
29-2032.00,Diagnostic Medical Sonographers,95,87
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,95,26
29-1122.00,Occupational Therapists,95,92
31-2022.00,Physical Therapist Aides,95,86
29-1081.00,Podiatrists,95,87
29-1061.00,Anesthesiologists,94,90
29-1141.03,Critical Care Nurses,94,99
29-9099.01,Midwives,94,73
29-2099.01,Neurodiagnostic Technologists,94,81
29-2099.05,Ophthalmic Medical Technologists,94,83
31-2021.00,Physical Therapist Assistants,94,76
29-1141.00,Registered Nurses,94,95
27-2042.01,Singers,94,29
29-9091.00,Athletic Trainers,93,69
29-1128.00,Exercise Physiologists,93,55
29-1126.00,Respiratory Therapists,93,98
53-6061.00,"Transportation Attendants, Except Flight Attendants",93,27
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",92,32
29-1069.03,Hospitalists,92,99
29-1069.06,Ophthalmologists,92,92
