ID,Datetime,Text
1311105218164252673,2020-09-30 00:46:57,RT @msPartner: #MSPartner @bindskins developed custom templates for #MicrosoftTeams that enable organizations to collaborate and connect wi…
1311104660401348608,2020-09-30 00:44:44,"Alright 15 minutes joe, covid?"
1311104222436429825,2020-09-30 00:43:00,"1) Meet basic needs first
2) Build relationships
3) Adapt, but with high standards
4) Pay for it - better education costs money
https://t.co/MGBp60qlqZ"
1311104083562913792,2020-09-30 00:42:27,@78Morpheus COVID.
1311103985898590210,2020-09-30 00:42:04,"RT @End_Disparities: Youth Smoking, Electronic Cigarette Use, &amp; COVID-19 - https://t.co/tklcFSk40H https://t.co/xQ1ypaXAqw"
1311103503884935168,2020-09-30 00:40:09,These are already a thing my mom used to go one before covid... https://t.co/FFMNmV7qdx
1311103453179994113,2020-09-30 00:39:57,"@TylerLeeConway @infamousjamip @AlsoACarpenter @SimonReye @Lex_Lutheran My understanding is that it did disappear, somewhere around the Civil Rights Acts of 57/65/65 and the election of Barack Obama. 

Magically, like the disappearance of COVID and now just as harmless to the body politic."
1311103420950917120,2020-09-30 00:39:49,"I love seeing how conservatives take airlines running at full capacity or big companies not being Covid-conscious as Covid being exaggerated, where the rest of us see it as huge companies being able to do whatever they please without consequences, as usual."
1311103207611887616,2020-09-30 00:38:58,"@JamesRubin1 @aginnt @nytimes “Lie, obfuscate and omit important facts relevant to your and your children’s health.”
https://t.co/ZfdyME7Rvn
How so?We'll wait..tens of millions of kids back in schools all over the world-but you're going2claim *that* huh?

U really need2read scientific studies re: this topic"
1311103013386321921,2020-09-30 00:38:12,"RT @seattletimes: NEW: Washington has 404 new coronavirus cases, totaling 87,042, and 24 more deaths, totaling 2,124. The state no longer r…"
1311103003017932800,2020-09-30 00:38:09,@LucasDaSneak Yes throwing up is a Simpson of Covid
1311102931215814657,2020-09-30 00:37:52,RT @ChiCindy36: @TheBlueBubba @TheRickWilson Secret earpiece &gt; COVID deaths increase
1311102701493604352,2020-09-30 00:36:57,"RT @WTFJHT: One member said she was repeatedly asked by Pence’s chief of staff, to get the CDC to produce reports showing a decline in coro…"
1311102653418467329,2020-09-30 00:36:46,I don’t even trip about having a covid patient anymore I just getting pissed I have to gown up to enter the room bc that plastic PPE gown doesn’t breathe for shit and I walk out a sweaty mess 😩
1311102647307505664,2020-09-30 00:36:44,"RT @DanPriceSeattle: If you're young and someone says just pull up your bootstraps, start with this chart

Since 2003
Student loans: up 356…"
1311102527325126656,2020-09-30 00:36:16,@LucasDaSneak I think you have Covid by looking at what I just read
1311102525383348232,2020-09-30 00:36:15,RT @RepJayapal: I've heard from thousands of constituents who need more relief to withstand this crisis. Our new COVID-19 package helps pro…
1311102383670190081,2020-09-30 00:35:42,"With &gt;200K dead from COVID, selling govt secrets to Putin to pay huge debts, calling soldiers losers, playing Xians as fools, &amp; stealing the election by killing USPS you will REWARD Trump with SCOPTUS pick to inflict damage on all that &amp; civil rights for women &amp;LGBTQ folks? /2"
1311102251105099776,2020-09-30 00:35:10,RT @RepJayapal: COVID-19 has only increased the number of young people experiencing hunger and homelessness. That's why @RepStefanik and I…
1311102161099554816,2020-09-30 00:34:48,"RT @byNathanKing: #Auburn had no positive COVID-19 results after the Kentucky game, per Gus Malzahn."
1311101961224073216,2020-09-30 00:34:01,"RT @seattletimes: NEW: Washington has 404 new coronavirus cases, totaling 87,042, and 24 more deaths, totaling 2,124. The state no longer r…"
1311101376672350208,2020-09-30 00:31:41,"@tblasi001 If you do the research you’ll see that there is formaldehyde, aluminum, Mercury, MSG, aborted fetus, glyphosate, latex, (and the list goes on) in vaccines. Trump isn’t making the Covid vaccine himself- scientists are. Regardless, I won’t touch ANY vaccine. It’s worth researching!"
1311100852275417089,2020-09-30 00:29:36,@SmilieeBritt I pulled out all my covid test results on the FB like... https://t.co/K8HyTm5rly
1311100708297547776,2020-09-30 00:29:02,"While getting new headshots for the websites ""Staff"" page, Pastor Nate Corley got personal and gave the ""COVID DAD"" look as he called it. Who else feels like this sometimes?? 👋 
Photo by @lauraintacoma https://t.co/gtOlPYAhAo"
1311100616173854723,2020-09-30 00:28:40,RT @RepJayapal: I've heard from thousands of constituents who need more relief to withstand this crisis. Our new COVID-19 package helps pro…
1311100458677739520,2020-09-30 00:28:03,"RT @yvettedoc50: @carlheneghan It's not all about deaths though, but don't be disrespectful enough to say that to the relatives of those 30…"
1311100413643337728,2020-09-30 00:27:52,RT @SeanNyberg: @CBSNews This is the fall out from a US President who purposefully downplayed COVID-19 by lying to the American people and…
1311100317254258697,2020-09-30 00:27:29,this man predicted 0 new covid cases by june https://t.co/fCGitztq2e
1311100168679206912,2020-09-30 00:26:53,"Seattle / King County COVID update 9/29

Cases continue to increase. Based on preliminary data from today, the case trend will also show an increase tomorrow.

Exponential growth is unsustainable. We must change course, through testing, tracing, quarantine, isolation, distancing. https://t.co/ZuiVgYy3cw"
1311100083627151361,2020-09-30 00:26:33,"RT @JamesPMorrison: Two things are true about Two-Face Trump: 
1) If he's not privately ridiculing you, he'll make up for it by ridiculing…"
