ID,Datetime,Text
1311083783525822464,2020-09-29 23:21:47,"COVID-19 cases rising among US children as schools reopen, @LindseyTanner reports for the @AP. https://t.co/W0k5fZJ4oL https://t.co/jHqOdWZkql"
1311065942214897664,2020-09-29 22:10:53,"RT @yakimahealth: Based on our County's current COVID-19 metrics, the Yakima Health District is recommending that local school officials co…"
1311063902982041600,2020-09-29 22:02:47,"This brings the total number of deaths in Chelan County from the pandemic to 17, plus a total of seven in Douglas County. The pandemic has so far claimed more than 2,100 lives in Washington, and 205,000 nationwide. https://t.co/O391Xts56B"
1311043040107094016,2020-09-29 20:39:53,@thehill Headline in one month: Spike in COVID-19 cases in TN.
1311028619729186816,2020-09-29 19:42:35,Kinda ironic if you ask me Clowney signs with the Titans and now they have a covid outbreak
1311017953635303430,2020-09-29 19:00:12,"""Discover seven non-negotiable things your storytelling must do and the best tactics for connecting with customers right now."" https://t.co/pPRuui5krG"
1311012984248967168,2020-09-29 18:40:27,"RT @the7thsign: Did you see what Trump said?
COVID “maybe was a good thing”, because 
“I don’t have to shake hands with these disgusting pe…"
1311004177879900160,2020-09-29 18:05:27,"@FPWellman Maybe Jared Kushner &amp; his elite non gov team ordered / stored such ballots with Covid $$$? Stored @ Trump location?
She's a wing dinger but who knows what the #GOP has in store for all of US...
:(
#biLL"
1311001084756779008,2020-09-29 17:53:10,"COVID-19 hasn't disappeared, just because Dr. Larson has stopped making video updates.
https://t.co/67Unll2wl8"
1310987215988617217,2020-09-29 16:58:03,@JeffreeStar I have been watching you for years. And this would help my family so much. We are at risk of losing our home and car because my husband lost his job due to COVID. If you choose me I would be so so great full and help someone with what could be left over! ♾♾❤️
1310978314710913024,2020-09-29 16:22:41,"@ScottBaio Those numbers are wrong.  The survival rate is much better than that.  That is a survival rate when adding in all possible co-morbidities.....  The CDC updated the Covid number to admit that only 6% of all the 153,504 deaths recorded actually died from Covid. That’s 9,210 deaths"
1310945673190268930,2020-09-29 14:12:59,"@carlheneghan How many had long covid resulting in significantly reduced quality of life for 6 months?

How many had structural changes to their heart which can result in sudden heart attack and death even among the young and fit?"
1310938381560565760,2020-09-29 13:44:00,"RT @funylute: I've seen the list for topics in tomorrows debate,  I think foriegn affairs should be a huge topic,  no new wars, soldiers co…"
1310912132167335936,2020-09-29 11:59:42,"@SRuhle Question for Ireland, does COVID come out after 11pm?"
1310911054390591494,2020-09-29 11:55:25,@kylegriffin1 Because he wanted to minimize COVID’s impact on his resort properties. That has to be the reason.
1310892946451906562,2020-09-29 10:43:28,Wait - you mean we should all be EXERCISING? Getting outdoors? You mean Covid isn’t the leading death? No...... it isn’t so!? SMH https://t.co/Jyh3S2PhEC
1310881304083267584,2020-09-29 09:57:12,"@deerfold @Evantichita @mattyglesias The availability of public health insurance doesn't seem to be the deciding factor Re covid deaths per capita. The UK, France, Italy, Spain, Sweden, Belgium have universal coverage but have very high tolls. I think the mask culture, pandemic preparedness &amp; obesity mattered more."
1310857690755796992,2020-09-29 08:23:22,"Employee health and privacy during Covid-19

Read the full article: What are my obligations as an employer during Covid-19?
▸ https://t.co/CaMWDeDPtf

#healthandsafety #covid19 #employeehealth https://t.co/u0DHks0PR9"
1310840934444093440,2020-09-29 07:16:47,RT @_natali09: People really out here going to jaripeos not giving a fuck about covid 🥴
1310831484253609984,2020-09-29 06:39:14,@EricMMatheny Joe still has to pass the pre-debate covid check ✔ He may have to go back to the basement...
1310817237582770177,2020-09-29 05:42:37,Hydroxychloroquine is issued daily to American Troops in Europe. Vitamin D3 &amp; Chloroquine leads to the production of interferon and causes the dendritic cells to mature and present antigen to T cells which blocks viruses. How many US troops in Europe have Covid 19???🤔 https://t.co/DcacpwA5Nf
1310809778688417792,2020-09-29 05:12:59,"It’s easy @realDonaldTrump just release your damn tax returns and it will all just go away - just like Covid-19 

#TrumpCrimeFamily #TrumpTaxes #TrumpkillsAmericans #TrumpIsNotABillionaire"
1310801648172687361,2020-09-29 04:40:41,people who wear the construction masks for covid... WHY
1310776314232737793,2020-09-29 03:00:01,The team from the U.S. Centers for Disease Control and Prevention is looking specifically at the risk factors for COVID-19 in the Latino community. https://t.co/cTVCqoaKFs
1310763537623465989,2020-09-29 02:09:14,"@GOPChairwoman @realDonaldTrump @DonaldJTrumpJr Created jobs? Meaning people who were thrown OUT OF WORK due to DJT's ABJECT FAILURE on Covid are getting their jobs back? That's not ""creating"" jobs, except apparently in the delusional world of the malignant ideological cancer of TOXIC TRUMPISM"
1310751257611493376,2020-09-29 01:20:27,@36westbrook COVID!
1310747872644612096,2020-09-29 01:07:00,"#coronavirus : Global Covid-19 death toll passes one million

#COVID19
#DeathToll  https://t.co/pWeJKj5Ary"
1310740394380947456,2020-09-29 00:37:17,"I've seen the list for topics in tomorrows debate,  I think foriegn affairs should be a huge topic,  no new wars, soldiers coming home, peace in the middle east.  But I'm sure it will only be covid and taxes.  Hey @realDonaldTrump let her ripe potato chip. #Trump2020"
1310733942144688129,2020-09-29 00:11:38,RT @_natali09: People really out here going to jaripeos not giving a fuck about covid 🥴
1310729425357398017,2020-09-28 23:53:41,@NoMorePlatosCav Yep. I had COVID in Mar/Apr and still get frequent fevers. I also started losing hair last month.
1310725689193246721,2020-09-28 23:38:51,"Here are the community-based testing sites happening this week! Testing is free and open to anyone who needs to get tested. No registration required, just drive-up! #COVID19YKM

Stay up-to-date on on community-based testing sites by visiting our webpage: https://t.co/zdQJoXovP7 https://t.co/kfF4Ewnvop"
1310725626899378176,2020-09-28 23:38:36,"Here are the community-based testing sites happening this week! Testing is free and open to anyone who needs to get tested. No registration required, just drive-up! #COVID19YKM

Stay up-to-date on on community-based testing sites by visiting our webpage: https://t.co/zdQJoXovP7 https://t.co/pjEF0wcYfo"
1310720532623491072,2020-09-28 23:18:21,"@mattyglesias At this point, I can't help but wonder that high American obesity is what might be setting the US apart from the rest of the developed nations (including even Sweden) when it comes to covid death tolls."
1310716146786525184,2020-09-28 23:00:55,"@StephenKing @ccarson004 Why would anybody in these groups vote for trump?

Seniors, thinks they r expendable
Military, Suckers and Losers
Medical Workers, Covid-19
Postal Workers, slowed the system
Anybody of Color, trump is racist

Who am I missing?"
1310707180467757056,2020-09-28 22:25:18,RT @_natali09: People really out here going to jaripeos not giving a fuck about covid 🥴
1310685007350882304,2020-09-28 20:57:11,"Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like ""F/T Gen. Warehouse Assoc. - Plus temp $2/hr COVID CARE pay (Yakima)"" in #Yakima, WA. #Labor"
1310679642131505152,2020-09-28 20:35:52,"@politvidchannel @beinggerric Sure and his health care plan, and his new trade deal with China, and his Covid vaccine and I thought he was close to ending childhood cancers? https://t.co/kcGOBrq2cv"
1310671235244797955,2020-09-28 20:02:28,"Covid-19 is a false pandemic created for political purposes. This is a world dictatorship with a sanitary excuse. 
https://t.co/ezrhAFmUsI"
1310668575095418880,2020-09-28 19:51:54,"@realDonaldTrump 
@FoxNews
@CNNPolitics 
@MSNBC 
I havent Missed 1 press Confrence About COVID.  Your Response Has Been Historical.
Thanks to @VP and Task Team For Caring So Much for American Lives. Of Course We Knew their Would Be Deaths.
Working Day &amp; Night you have Saved 1.8"
1310662806102970369,2020-09-28 19:28:58,"RT @yakimahealth: Based on our County's current COVID-19 metrics, the Yakima Health District is recommending that local school officials co…"
1310662568034230272,2020-09-28 19:28:01,"RT @yakimahealth: Based on our County's current COVID-19 metrics, the Yakima Health District is recommending that local school officials co…"
1310659257470259206,2020-09-28 19:14:52,"Based on our County's current COVID-19 metrics, the Yakima Health District is recommending that local school officials consider moving towards in-person and hybrid learning options. #COVID19YKM  

Read more at:  https://t.co/Jw89jf3NY3 https://t.co/3QvyeNp0E4"
1310653990389059589,2020-09-28 18:53:56,"RT @okitsjoshwa: @hearth_taro @alexivenegas_ Hun, I grew up on a farm and been around fresh vegetables and fruits all my life and ive been…"
1310639954888806400,2020-09-28 17:58:10,@_natali09 Covid never stopped anyone dude🙄
1310639803193389057,2020-09-28 17:57:34,RT @_natali09: People really out here going to jaripeos not giving a fuck about covid 🥴
1310631508722372609,2020-09-28 17:24:36,RT @_natali09: People really out here going to jaripeos not giving a fuck about covid 🥴
