ID,Datetime,Text
1311102161099554816,2020-09-30 00:34:48,"RT @byNathanKing: #Auburn had no positive COVID-19 results after the Kentucky game, per Gus Malzahn."
1311100852275417089,2020-09-30 00:29:36,@SmilieeBritt I pulled out all my covid test results on the FB like... https://t.co/K8HyTm5rly
1311100708297547776,2020-09-30 00:29:02,"While getting new headshots for the websites ""Staff"" page, Pastor Nate Corley got personal and gave the ""COVID DAD"" look as he called it. Who else feels like this sometimes?? 👋 
Photo by @lauraintacoma https://t.co/gtOlPYAhAo"
1311100458677739520,2020-09-30 00:28:03,"RT @yvettedoc50: @carlheneghan It's not all about deaths though, but don't be disrespectful enough to say that to the relatives of those 30…"
1311100083627151361,2020-09-30 00:26:33,"RT @JamesPMorrison: Two things are true about Two-Face Trump: 
1) If he's not privately ridiculing you, he'll make up for it by ridiculing…"
1311099103313567744,2020-09-30 00:22:39,"RT @byNathanKing: #Auburn had no positive COVID-19 results after the Kentucky game, per Gus Malzahn."
1311098958328995841,2020-09-30 00:22:05,RT @PNWForestKing: #MASKNAZIS: Public health officials pushing and enforcing #MaskUp #StayHome are being called out and targeted en masse b…
1311097008812367872,2020-09-30 00:14:20,"RT @TPCHD: On Sept. 29, we confirmed 52 new COVID-19 cases and 3 new deaths: 

➡️ A woman in her 70s from Central Pierce County. She had un…"
1311096938222227456,2020-09-30 00:14:03,"RT @TPCHD: With the 6-day data lag, our case rate is at 58.9 per 100,000. The data lag helps to ensure accuracy and is a required element o…"
1311096813928230913,2020-09-30 00:13:34,"RT @ThurstonHealth: COVID-19 Update for 9/29/2020

Additional residents diagnosed with COVID-19 = 5
Total number of COVID-19 cases = 1229…"
1311096746991378432,2020-09-30 00:13:18,RT @WAMedCommission: Using #COVID-19 renewal deferral? It expires tomorrow and you cannot renew online. You must renew by #mail. If your ma…
1311096584378122242,2020-09-30 00:12:39,"@henrymcmaster Remove Covid restrictions on businesses &amp; all mask mandates in SC! Be brave, be a leader like the governors of FL &amp; TN https://t.co/DUGEutGxld"
1311096553931640832,2020-09-30 00:12:32,7-Year-Old Boy Donates Trucks Full of COVID-19 Supplies to South Dakota Reservation https://t.co/TSHw2Zqx4H
1311096251832651777,2020-09-30 00:11:20,No Shit https://t.co/tvDLF5COqK
1311095805218942978,2020-09-30 00:09:33,"Looking to score a job at Dollar Tree? You're in luck. Click the link in our bio for the job description and information on how to apply: F/T Gen. Warehouse Assoc. - Plus temp $2/hr COVID CARE pay (Rochester) #Labor #Rochester, WA"
1311093932755832832,2020-09-30 00:02:07,Perversion knows no bounds. Like Covid! 🤯 https://t.co/h4nyujltPC
1311091826959421440,2020-09-29 23:53:45,"@yourlocallhomo Yeah. I didn't meet my current girlfriend for weeks in part because I was a little worried she wouldn't like me as much in person. I mean, also it was Covid-19 putting a wrench in things, but definitely I had a fear of rejection. Turns out she was crazy about me all along."
1311091152506904578,2020-09-29 23:51:04,"I don't have anything profound to say about anything of this, I guess. Just that I am seeing the stats about who is getting Covid reflected in my work."
1311090958952312832,2020-09-29 23:50:18,"My cases I get where they have Covid, I can always tell when it is them even before I see the diagnosis. Usually they make little money and are requesting two weeks off. Usually they are not white."
1311090690210893826,2020-09-29 23:49:14,RT @Celia_Manson: COVID-19: England’s chief nurse announces £28m fund to recruit overseas nurses https://t.co/CSvI0IDSy7
1311089635225894913,2020-09-29 23:45:02,"Farmworkers feed us. They deserve to be safe at work and have proper PPE for both COVID-19 and wildfire smoke.

 https://t.co/9tKjnDNpCh"
1311089515767840769,2020-09-29 23:44:34,@g_sk_one @JosephPGillette @joanschulze @ptyboxing1 @ebonybowden @Mommabear1231 Saying all people who died with covid but not OF covid skews the numbers and you libs know it.
1311088522808320000,2020-09-29 23:40:37,"#MASKNAZIS: Public health officials pushing and enforcing #MaskUp #StayHome are being called out and targeted en masse by angry public who is ed up with obvious contradictions, nonsense, bias and other harm caused by these ineffective policies:

https://t.co/JhHuYDBLWO"
1311087591870156802,2020-09-29 23:36:55,"RT @DelMody: Duchess of Cambridge, toasts marshmallows during her visit to a Scout Group in Northolt, northwest London - where she joined C…"
1311085510912339969,2020-09-29 23:28:39,"RT @LUNGevity: At #ILCSC20, @ZPiotrowskaMD @DrWinnUIC &amp; @DrWinkfield discussed how #lungcancer care has evolved during #COVID19. Watch the…"
1311085387381485568,2020-09-29 23:28:09,"RT @TPCHD: Enjoy all the ghosts 👻 and ghouls 😈, heroes 🦸🏽‍♀️ and villains 🦹‍♂️, and candy 🍭 and pumpkin spice 🎃 you can this year. But do i…"
1311085324370468867,2020-09-29 23:27:54,"RT @DelMody: Duchess of Cambridge, toasts marshmallows during her visit to a Scout Group in Northolt, northwest London - where she joined C…"
1311085254988316672,2020-09-29 23:27:38,"RT @DelMody: Duchess of Cambridge, toasts marshmallows during her visit to a Scout Group in Northolt, northwest London - where she joined C…"
1311084773155037184,2020-09-29 23:25:43,"RT @DelMody: Duchess of Cambridge, toasts marshmallows during her visit to a Scout Group in Northolt, northwest London - where she joined C…"
1311084700539260929,2020-09-29 23:25:26,"RT @DelMody: Duchess of Cambridge, toasts marshmallows during her visit to a Scout Group in Northolt, northwest London - where she joined C…"
1311084638748565504,2020-09-29 23:25:11,"RT @TPCHD: Enjoy all the ghosts 👻 and ghouls 😈, heroes 🦸🏽‍♀️ and villains 🦹‍♂️, and candy 🍭 and pumpkin spice 🎃 you can this year. But do i…"
1311083594161348609,2020-09-29 23:21:02,RT @KruminsAlex: 🦠 Covid. Trump &amp; the virus go hand in hand. Literally. 🤬
1311083289881374720,2020-09-29 23:19:49,"If you drank the original 4 loco,
You are immune to Covid-19"
1311083072767442944,2020-09-29 23:18:57,"Enjoy all the ghosts 👻 and ghouls 😈, heroes 🦸🏽‍♀️ and villains 🦹‍♂️, and candy 🍭 and pumpkin spice 🎃 you can this year. But do it in a safe way. Let’s make sure the only scares you get are from Halloween and not COVID-19. 

https://t.co/NvLPlVEB6Z https://t.co/kFUeVt0MHR"
1311083010515582977,2020-09-29 23:18:43,"RT @DelMody: Duchess of Cambridge, toasts marshmallows during her visit to a Scout Group in Northolt, northwest London - where she joined C…"
1311082926789087235,2020-09-29 23:18:23,RT @Kent_Online: 'Covid-secure' panto to go ahead this Christmas in #Canterbury https://t.co/qwH6q3jLNf https://t.co/i1lNU7kbIC
1311082179707846656,2020-09-29 23:15:25,"@ArcticMoonMusic Yep.  I was onboard at the beginning when we did not have the information we have now.  Now that we have our heads wrapped around this thing, seems like we can handle it without lock downs.

Covid is not the death sentence we originally believed and that is good."
1311081894595960832,2020-09-29 23:14:17,everytime someone mentions Covid to my sister she acts like it isn’t a big deal so I simply asked her if she’s a Trump supporter lmao she didn’t like that😭
