ID,Datetime,Text
1311104427605008386,2020-09-30 00:43:49,Africa: 120 Million Rapid Covid-19 Tests to be Available to Low - and Middle-Income Countries | https://t.co/gammQ2dcg7
1311104402799747073,2020-09-30 00:43:43,"RT @cbcnewsbc: B.C. immigration society welcoming refugees again after COVID-19 shut borders 

https://t.co/pWhOLu7uMh"
1311104400237064192,2020-09-30 00:43:42,"RT @SoniaFurstenau: Businesses and communities need support now, not in 2 months from now when we know the election outcome. 

The NDP shou…"
1311104204342206464,2020-09-30 00:42:56,"@cryptojane @bernerme @DeniselxN @JamesTodaroMD i suppose that Taiwan doing so incredibly well with covid is not due to their mandatory mask policy since january , it is just luck , right?"
1311104083562913792,2020-09-30 00:42:27,@78Morpheus COVID.
1311103983780532225,2020-09-30 00:42:03,RT @CTVVancouver: Were you on any of these flights?https://t.co/9vrwqK4jwS
1311103958081966081,2020-09-30 00:41:57,RT @adriandix: BC singled out for praise in its COVID-19 response in thoughtful @TheEconomist article. Important as ever for all of us to k…
1311103909172252672,2020-09-30 00:41:45,Africa: Covid-19 Takes Over One Million Lives Worldwide | https://t.co/JcC0LQLQRe
1311103826762457088,2020-09-30 00:41:26,"RT @cbcnewsbc: B.C. announces 105 new cases of COVID-19 and 1 more death 

https://t.co/hnEupmEkWU"
1311103536818601984,2020-09-30 00:40:16,RT @1969Enigma: .@thomasdaigle  Perhaps CBC news should pick up a real Canadian Story that will make a difference on the COVID front.  http…
1311103491952259072,2020-09-30 00:40:06,"They can deliver COVID-19 test results in just 15 minutes, and Canada has reached an agreement to buy 7.9 million of them. But the Abbott ID NOW still needs Health Canada’s approval. @Xiaoli_3000 has more. https://t.co/h0u6HcEnPe"
1311103466475892736,2020-09-30 00:40:00,"There are now 69 patients in hospital, and of those, 20 are in critical care. https://t.co/R29jxKfgHU"
1311103440572088321,2020-09-30 00:39:54,Kenya: Govt Re-Opens Bars in Eased Covid-19 Measures | https://t.co/tNlQHrjuKs
1311103349421297664,2020-09-30 00:39:32,Another death as COVID-19 outbreak at Delta Hospital climbs to 18 cases https://t.co/CfgRjbUWhs
1311103348649594880,2020-09-30 00:39:32,Another death as COVID-19 outbreak at Delta Hospital climbs to 18 cases https://t.co/d3TJFixcQb
1311103088560758784,2020-09-30 00:38:30,"RT @CTVVancouver: #Breaking: B.C. has now recorded more than 9,000 cases of COVID-19, and officials are calling on residents to hold virtua…"
1311102983095033856,2020-09-30 00:38:04,Another death as COVID-19 outbreak at Delta Hospital climbs to 18 cases https://t.co/LQCmbiUh86
1311102974119178240,2020-09-30 00:38:02,Another death as COVID-19 outbreak at Delta Hospital climbs to 18 cases https://t.co/tBuXURyZ9t
1311102969857732611,2020-09-30 00:38:01,Another death as COVID-19 outbreak at Delta Hospital climbs to 18 cases https://t.co/pomoMqEZbw
1311102721223610368,2020-09-30 00:37:02,Another death as COVID-19 outbreak at Delta Hospital climbs to 18 cases https://t.co/9oAhUWvKZK
1311102565866766336,2020-09-30 00:36:25,RT @guyfelicella: My dad &amp; I have spoken 4 times in 20yrs. I found out he has covid at age 78 so I called him. He cried &amp; said he wasted a…
1311102558077743104,2020-09-30 00:36:23,"No cap, COVID has taken so much from me"
1311102402917875713,2020-09-30 00:35:46,"@writethewrongg @BowinnMa If you think this is anything other than a power play you would be wrong. They know they will get a strong majority and are taking advantage of it, covid be damned."
1311101906891272193,2020-09-30 00:33:48,"RT @JimBair62221006: “We feel abandoned and like we have no support. We work honorably, and if it weren’t for the work that we do, there wo…"
1311101901975334912,2020-09-30 00:33:47,"""By now, public-health agencies should have months' worth of information about the environments and interactions that are driving the spread of the virus."" https://t.co/UCzQAr57N0"
1311101881565863936,2020-09-30 00:33:42,"RT @mike_D_hall: 2nd COVID-19 outbreak declared at Vancouver long-term care home, 105 new cases - via @News1130 https://t.co/UfbbI5oFTG"
1311101835235581953,2020-09-30 00:33:31,"2nd COVID-19 outbreak declared at Vancouver long-term care home, 105 new cases - via @News1130 https://t.co/UfbbI5oFTG"
1311101645888073729,2020-09-30 00:32:46,RT @goUFV: UFV recognizes the need to assist our community during the pandemic and has partnered with @Fraserhealth to help curb the spread…
1311101616070602752,2020-09-30 00:32:39,"RT @NEWS1130: Two Safeway grocery stores in the Lower Mainland have had employees test positive for COVID-19
https://t.co/kQyPd0xhdQ https:…"
1311101485325774849,2020-09-30 00:32:07,5’3.5” 130lbs(“covid 10”😉) 32D . lol https://t.co/awglBdrdoH
1311101047088193536,2020-09-30 00:30:23,RT @goUFV: UFV recognizes the need to assist our community during the pandemic and has partnered with @Fraserhealth to help curb the spread…
1311100990142251008,2020-09-30 00:30:09,RT @biancalimr: @laura_sanditon @upnorthview @dejong679 I blame everything on Covid! I gained 15 lbs. Covid. I’m anxious. Covid. No Sandito…
1311100828564860928,2020-09-30 00:29:31,"Graphs and analysis updated for 29-Sep-20. China recovering. Canada, BC, Sweden slowing. Growth in USA, Costa Rica, Netherlands and Italy.

#CoronavirusPandemic
#COVID19
#COVID19BC
#CoronavirusCanada
#CoronavirusUSA
#coronavirusNederland
#CostaRica

https://t.co/2fIqmPrzEC"
1311100746817925120,2020-09-30 00:29:11,"RT @pattibacchus: Hearing several Caulfeild elementary students in West Van now testing positive for COVID 19, suggesting possible in-schoo…"
1311100619252477952,2020-09-30 00:28:41,"RT @BadheshaGagan: 1000000 deaths till today.

""Covid-19 has killed its millionth confirmed victim""  https://t.co/DGtx4WugV5"
1311100443745943553,2020-09-30 00:27:59,@HeyTammyBruce @realDonaldTrump @FLOTUS And pray that Trump goes nowhere near any Biden people who will be looking to infect the president with Covid.
1311100239059718145,2020-09-30 00:27:10,"RT @timescolonist: B.C. extends state of emergency, reports one death and 105 new cases of COVID-19 https://t.co/99ZvJ6B1Oo"
1311100093026582528,2020-09-30 00:26:35,"RT @JimBair62221006: “We feel abandoned and like we have no support. We work honorably, and if it weren’t for the work that we do, there wo…"
1311100059979710464,2020-09-30 00:26:28,"RT @pattibacchus: Another from my inbox: ""I had a student contact me for work because she's home sick. She called 811 &amp; they told her it do…"
1311099356154527744,2020-09-30 00:23:40,"Some insights from PHO Bonnie Henry, by way of @victoriabuzzes and @brish_ti about why #yyj and Van Isl have (so far) experienced lower levels of transmission. The short answer: like any other complex situation, there are a variety of factors at play.

https://t.co/xL9PpHNqAj"
1311099133839564800,2020-09-30 00:22:47,"RT @Lyndamathews25: @GerardBattenUK @Ashnandoah This is the best I have seen about Covid from around the world of FACTS,  all in one little…"
1311098842708836353,2020-09-30 00:21:37,"RT @DougMorneau: Millennials, Gen Z Could Save Holiday Shopping @pymnts

#consumerbehaviour #covid #marketing #consumer #business #marketin…"
1311098569277886466,2020-09-30 00:20:32,Telethon promotes COVID response funding https://t.co/P9DQrcpvt4
1311098515406368769,2020-09-30 00:20:19,"RT @DougMorneau: Millennials, Gen Z Could Save Holiday Shopping @pymnts

#consumerbehaviour #covid #marketing #consumer #business #marketin…"
