ID,Datetime,Text
1311103554740838400,2020-09-30 00:40:21,"RT @SBLiveWA: Highlights from Lakes football’s OT win over Kennedy Catholic in ‘COVID 7s’ finals

https://t.co/b08Q2aMHHx https://t.co/PcuA…"
1311102283673866240,2020-09-30 00:35:18,Live shot of me and my grants administrator learning that our access to shared drive w/all of our files is down right before three rounds of covid response grants plus SAGA R3 applications are due https://t.co/WfPMeHohP0
1311100810256723969,2020-09-30 00:29:26,"This just in: @BankofAmerica forces customers with covid-like symptoms to step foot physically in their branches. Oooh boy. But really, are you surprised at all?"
1311099923530539009,2020-09-30 00:25:55,"@SallyDeal4 @EricTrump @realDonaldTrump It's not at all clear the Trumps are capable of genuine shock, nor empathy, nor an ability to forego their own self-interest.  Just bluster &amp; bullying &amp; bragging &amp; #RoyCohn lying ... layered with the tears of the living relations and friends of 200,000 Americans dead of COVID-19"
1311098908290895874,2020-09-30 00:21:53,"RT @KimmyMc2010: @MichelleRempel Until there is an accurate test for Covid 19 only &amp; not all corona viruses, what is the point?
The test pi…"
1311095464024915968,2020-09-30 00:08:12,Don't forget the killer COVID. How/why is this open? https://t.co/O5sE4ljaQk
1311092526191837189,2020-09-29 23:56:31,"RT @SpokesmanReview: A Mead High School student has tested positive for COVID-19. In a letter sent to parents Monday, Spokane County health…"
1311091010064117761,2020-09-29 23:50:30,"RT @SpokesmanReview: After preying heavily on the elderly in the spring, the coronavirus is increasingly infecting American children and te…"
1311090563219746819,2020-09-29 23:48:43,"@KamalaHarris I don’t expect to be written back but maybe just maybe someone can help. I promise to pay it all back and pay it forward, I honestly wouldn’t be asking if I didn’t use all my resources this month. Covid has literally screwed me over lost more than I like. God bless y’all &lt;3 https://t.co/sxsDbm4WUp"
1311089139719131137,2020-09-29 23:43:04,@JoogSquad can we build a trampoline over covid and spend 24 hours over it?
1311088981254176769,2020-09-29 23:42:26,"Since @JoeBiden &amp; @SenKamalaHarris paid together $1.5+ million in taxes, while @realDonaldTrump pays near diddly, COVID-19 relief checks were objectively financed way more by those 2 than by tax-shirker Trump, who insisted on slapping his Richter-jiggle signature on the checks."
1311085105625075712,2020-09-29 23:27:02,Zero new COVID-19 cases in Interior Health https://t.co/tywplhhxNg
1311085105444614144,2020-09-29 23:27:02,Zero new COVID-19 cases in Interior Health https://t.co/j3ifeCszwp
1311084728829706240,2020-09-29 23:25:32,Zero new COVID-19 cases in Interior Health https://t.co/WLbokXzYxP
1311083053960187904,2020-09-29 23:18:53,GOP is now the clean broom party.  Sweep covid under the rug. Sweep obstruction under rug.  Sweep Russian connection under rug.  With any luck at all they are going to sweep themselves right out the door.
1311079945683136513,2020-09-29 23:06:32,"105 new COVID-19 cases, 1 death as health officials urge B.C. to remember safety protocols https://t.co/TNBRQ3OdO7"
1311079880558145536,2020-09-29 23:06:16,"@MichelleRempel Until there is an accurate test for Covid 19 only &amp; not all corona viruses, what is the point?
The test picks up all coronavirus RNA so the common every day cold will be a positive! Get an accurate test &amp; then maybe we’ll all see there was no real panic!"
1311079819182927872,2020-09-29 23:06:02,"105 new COVID-19 cases, 1 death as health officials urge B.C. to remember safety protocols https://t.co/kHegoZvJDN"
1311078811493048320,2020-09-29 23:02:01,"105 new COVID-19 cases, 1 death as health officials urge B.C. to remember safety protocols https://t.co/CvPj8pTJTK"
1311078133274042368,2020-09-29 22:59:20,"This same local bar back in April opened against regulations and packed the place with people, many of which got COVID. I hate living on the East side of Washington State. https://t.co/iwOxpPRhjJ"
1311078003762499584,2020-09-29 22:58:49,RT @abanion: Looking forward to virtually presenting for @DCTranslators  International Translation Day celebration tomorrow. I'll be sharin…
1311077384842436608,2020-09-29 22:56:21,COVID has shown me just how willfully ignorant many of the people I know are.
1311075996829757440,2020-09-29 22:50:50,"@IngrahamAngle COVID-19 quoted along the grapevine: ""Hurrah!  Now me and my friends can really get to work!  Thank you, GOP, for being the most virus friendly political party we've ever seen.  Keep up the good work.  We're counting on you.  And replicating in you."""
1311072270274551808,2020-09-29 22:36:02,"VIDEO: Ottawa unveils guidelines, deal for rapid COVID-19 tests as calls for approval mount https://t.co/1NPUc31dBp"
1311071777645195264,2020-09-29 22:34:04,"VIDEO: Ottawa unveils guidelines, deal for rapid COVID-19 tests as calls for approval mount https://t.co/lPMCxRqBIk"
1311070828910571526,2020-09-29 22:30:18,The 900 ECO COVID crusher. https://t.co/fqnfHPURPW
1311069592760889344,2020-09-29 22:25:24,"RT @SpokesmanReview: After preying heavily on the elderly in the spring, the coronavirus is increasingly infecting American children and te…"
1311069439169712128,2020-09-29 22:24:47,"RT @SpokesmanReview: After preying heavily on the elderly in the spring, the coronavirus is increasingly infecting American children and te…"
1311069004669186048,2020-09-29 22:23:03,"Liberals throw down challenge, make COVID-19 aid bill a confidence matter https://t.co/zdjjXuJv95"
1311068370301673472,2020-09-29 22:20:32,"Liberals throw down challenge, make COVID-19 aid bill a confidence matter https://t.co/xbbKuI15ho"
1311068368892358657,2020-09-29 22:20:32,"Liberals throw down challenge, make COVID-19 aid bill a confidence matter https://t.co/yNxfMF68cQ"
1311067256458272769,2020-09-29 22:16:07,"RT @SpokesmanReview: After preying heavily on the elderly in the spring, the coronavirus is increasingly infecting American children and te…"
1311067123289006081,2020-09-29 22:15:35,"The second panel (10/9 at 1pm PT) is The Technological Response to COVID-19, featuring Ana Santos Rutschman @a_rutschman of @SLULAW, Doron Dorfman @DorfmanDoron  of @SUCollegeofLaw, Patricia Zettler of @OSU_Law, and Nathan Cortez @nathancortez @SMULawSchool."
1311066560987947008,2020-09-29 22:13:21,"RT @SpokesmanReview: After preying heavily on the elderly in the spring, the coronavirus is increasingly infecting American children and te…"
1311065160652480513,2020-09-29 22:07:47,"Prediction #24: Right-wing media critics will complain that the debate focused far too much on trivial issues like the deaths of 200,000 Americans from COVID-19, and not enough on the ""real issues, like the rumors that Hillary Clinton killed Vince Foster."""
1311063203955331076,2020-09-29 22:00:00,"After preying heavily on the elderly in the spring, the coronavirus is increasingly infecting American children and teens in a trend authorities say appears driven by school reopenings and the resumption of sports, playdates and other activities. https://t.co/QxCaNZTZeC"
1311059187456249856,2020-09-29 21:44:03,"#Regeneron says its #COVID19 treatment reduces viral levels, improves ""Mild to Moderate"" symptoms and will seek EUA from FDA https://t.co/dpHNBezZ8Y #Leronlimab #CytoDyn"
1311058612567982082,2020-09-29 21:41:46,"The next few months could get ugly. Here's how to stay safe as the pandemic rages on

https://t.co/CGwhaiqW8i"
1311057817244106753,2020-09-29 21:38:36,"Titans, Vikings shut down in-person activities after NFL's first Covid-19 outbreak

https://t.co/13zCjuuszR"
1311053958266236928,2020-09-29 21:23:16,"RT @MaherKXLY: Voters who choose to head to the polls on election days are reassured it will be safe in terms of COVID-19 precautions. 

Po…"
1311051775840055296,2020-09-29 21:14:36,"This job is now open at Dollar Tree in #DeerPark, WA. Follow us and turn on mobile alerts to hear about jobs like these as soon as they're posted: F/T Gen. Warehouse Assoc. - Plus temp $2/hr COVID CARE pay (Deer Park) #Labor"
1311050440075702275,2020-09-29 21:09:17,"Voters who choose to head to the polls on election days are reassured it will be safe in terms of COVID-19 precautions. 

Poll workers will have full PPE and there will be heavy sanitation in between voters. 

More tonight on @kxly4news with details about this historic election."
1311047489382834176,2020-09-29 20:57:34,Federal child-care plan could help Canada rebound from COVID-induced economic crisis: prof https://t.co/U5pjoGFjPh
1311047487302504448,2020-09-29 20:57:33,Federal child-care plan could help Canada rebound from COVID-induced economic crisis: prof https://t.co/wdu9vIkHrz
1311047487247925248,2020-09-29 20:57:33,Federal child-care plan could help Canada rebound from COVID-induced economic crisis: prof https://t.co/uyoJIksUjV
1311044984917733376,2020-09-29 20:47:37,"RT @SpokesmanReview: A Mead High School student has tested positive for COVID-19. In a letter sent to parents Monday, Spokane County health…"
