ID,Datetime,Text
1311103554740838400,2020-09-30 00:40:21,"RT @SBLiveWA: Highlights from Lakes football’s OT win over Kennedy Catholic in ‘COVID 7s’ finals

https://t.co/b08Q2aMHHx https://t.co/PcuA…"
1311102283673866240,2020-09-30 00:35:18,Live shot of me and my grants administrator learning that our access to shared drive w/all of our files is down right before three rounds of covid response grants plus SAGA R3 applications are due https://t.co/WfPMeHohP0
1311100960966545408,2020-09-30 00:30:02,Rift emerges on #White #House #Covid_19 #taskforce – as it happened https://t.co/49vGPJBmTL
1311100810256723969,2020-09-30 00:29:26,"This just in: @BankofAmerica forces customers with covid-like symptoms to step foot physically in their branches. Oooh boy. But really, are you surprised at all?"
1311099923530539009,2020-09-30 00:25:55,"@SallyDeal4 @EricTrump @realDonaldTrump It's not at all clear the Trumps are capable of genuine shock, nor empathy, nor an ability to forego their own self-interest.  Just bluster &amp; bullying &amp; bragging &amp; #RoyCohn lying ... layered with the tears of the living relations and friends of 200,000 Americans dead of COVID-19"
1311098535962529792,2020-09-30 00:20:24,"@JennyTheAuditor I'd love to see a national university dashboard with the two things that matter -- COVID hospitalizations, and COVID deaths.

But that would disqualify the choices being made very quickly."
1311098002581250049,2020-09-30 00:18:17,"@JennyTheAuditor This hurts a lot of students in hidden, but not-allowed-to-be-discussed ways.  Most college communities have lots of students working 40 hour work weeks locally.  And none of them suffer from COVID at all.  NO students have died since reopening.

And no professors either."
1311097130199605249,2020-09-30 00:14:49,"Some WA counties hit hard by COVID-19 are looking toward possibly reopening some schools for in-person classes. It’s thanks to metrics like hospital bed capacity and the virus incidence rate that continue to improve in Benton, Franklin + Yakima counties. https://t.co/5JrPpMAzHB"
1311095464024915968,2020-09-30 00:08:12,Don't forget the killer COVID. How/why is this open? https://t.co/O5sE4ljaQk
1311092643871354880,2020-09-29 23:56:59,#US #Retail #Store Closures Hit #Record in First Half. #pandemic #covid_19 #economics https://t.co/23fDarC3Ik
1311092526191837189,2020-09-29 23:56:31,"RT @SpokesmanReview: A Mead High School student has tested positive for COVID-19. In a letter sent to parents Monday, Spokane County health…"
1311091010064117761,2020-09-29 23:50:30,"RT @SpokesmanReview: After preying heavily on the elderly in the spring, the coronavirus is increasingly infecting American children and te…"
1311090563219746819,2020-09-29 23:48:43,"@KamalaHarris I don’t expect to be written back but maybe just maybe someone can help. I promise to pay it all back and pay it forward, I honestly wouldn’t be asking if I didn’t use all my resources this month. Covid has literally screwed me over lost more than I like. God bless y’all &lt;3 https://t.co/sxsDbm4WUp"
1311089139719131137,2020-09-29 23:43:04,@JoogSquad can we build a trampoline over covid and spend 24 hours over it?
1311088981254176769,2020-09-29 23:42:26,"Since @JoeBiden &amp; @SenKamalaHarris paid together $1.5+ million in taxes, while @realDonaldTrump pays near diddly, COVID-19 relief checks were objectively financed way more by those 2 than by tax-shirker Trump, who insisted on slapping his Richter-jiggle signature on the checks."
1311085861992165376,2020-09-29 23:30:02,"#Overnight #Defense: #Government #funding #bill butts up against deadline | #Pentagon reports eighth military #COVID_19 death | #Trump, Pentagon collide over anti #diversity training push https://t.co/VRP27rZbA5"
1311085080232648711,2020-09-29 23:26:56,"""There's probably going to be a couple more this week,"" Green said regarding the eight Greek Row houses currently under isolation for COVID-19."
1311083053960187904,2020-09-29 23:18:53,GOP is now the clean broom party.  Sweep covid under the rug. Sweep obstruction under rug.  Sweep Russian connection under rug.  With any luck at all they are going to sweep themselves right out the door.
1311082308447813632,2020-09-29 23:15:55,"""We're not immune from what's happening (at @WSUPullman and Whitman County), we know that,"" Green said, regarding the COVID-19 outbreak associated with WSU."
1311082306681987072,2020-09-29 23:15:55,"Green has been sharing UI's COVID-19 precautions with alumni, including wastewater testing, face covering requirements, mandatory testing and unique class formats."
1311078914387660800,2020-09-29 23:02:26,"RT @AlexisRVanHorn: Most recent counts as of 9/29:

➡️ UI currently infectious cases: 25
➡️ UI tests done: 9,032
➡️ Latah confirmed cases:…"
1311078698066440194,2020-09-29 23:01:34,"Most recent counts as of 9/29:

➡️ UI currently infectious cases: 25
➡️ UI tests done: 9,032
➡️ Latah confirmed cases: 458
➡️ Latah probable cases: 15
➡️ Latah recoveries: 247

For info on the Idaho, the U.S. and the world, check out our case count page.

https://t.co/Od6f71u6KE"
1311078133274042368,2020-09-29 22:59:20,"This same local bar back in April opened against regulations and packed the place with people, many of which got COVID. I hate living on the East side of Washington State. https://t.co/iwOxpPRhjJ"
1311078003762499584,2020-09-29 22:58:49,RT @abanion: Looking forward to virtually presenting for @DCTranslators  International Translation Day celebration tomorrow. I'll be sharin…
1311077384842436608,2020-09-29 22:56:21,COVID has shown me just how willfully ignorant many of the people I know are.
1311075996829757440,2020-09-29 22:50:50,"@IngrahamAngle COVID-19 quoted along the grapevine: ""Hurrah!  Now me and my friends can really get to work!  Thank you, GOP, for being the most virus friendly political party we've ever seen.  Keep up the good work.  We're counting on you.  And replicating in you."""
1311075980769857536,2020-09-29 22:50:47,@ChevBoiRd COVID-19 was living in some bat or something this time last year.
1311072414990704642,2020-09-29 22:36:36,"RT @uiargonaut: BREAKING: Several Homecoming events have been cancelled due to COVID-19. We go over what's been cancelled, what's still hap…"
1311072335705726976,2020-09-29 22:36:18,"BREAKING: Several Homecoming events have been cancelled due to COVID-19. We go over what's been cancelled, what's still happening and the reasons behind the change:

https://t.co/I1ApEQIt8U"
1311070970900226048,2020-09-29 22:30:52,"Are we prepared for millions across the globe suffering long term health effects from Covid-19? Whole new set of pre-existing conditions sweeping the planet. 

#pandemiclife https://t.co/wlCcfnIY9Q"
1311070828910571526,2020-09-29 22:30:18,The 900 ECO COVID crusher. https://t.co/fqnfHPURPW
1311069592760889344,2020-09-29 22:25:24,"RT @SpokesmanReview: After preying heavily on the elderly in the spring, the coronavirus is increasingly infecting American children and te…"
1311069439169712128,2020-09-29 22:24:47,"RT @SpokesmanReview: After preying heavily on the elderly in the spring, the coronavirus is increasingly infecting American children and te…"
1311067256458272769,2020-09-29 22:16:07,"RT @SpokesmanReview: After preying heavily on the elderly in the spring, the coronavirus is increasingly infecting American children and te…"
1311067123289006081,2020-09-29 22:15:35,"The second panel (10/9 at 1pm PT) is The Technological Response to COVID-19, featuring Ana Santos Rutschman @a_rutschman of @SLULAW, Doron Dorfman @DorfmanDoron  of @SUCollegeofLaw, Patricia Zettler of @OSU_Law, and Nathan Cortez @nathancortez @SMULawSchool."
1311066560987947008,2020-09-29 22:13:21,"RT @SpokesmanReview: After preying heavily on the elderly in the spring, the coronavirus is increasingly infecting American children and te…"
1311065160652480513,2020-09-29 22:07:47,"Prediction #24: Right-wing media critics will complain that the debate focused far too much on trivial issues like the deaths of 200,000 Americans from COVID-19, and not enough on the ""real issues, like the rumors that Hillary Clinton killed Vince Foster."""
1311063902839623682,2020-09-29 22:02:47,@beny_n_da_jets @mattheweide Here’s hoping they don’t have COVID! #2020worstyear #pandemiclife
1311063203955331076,2020-09-29 22:00:00,"After preying heavily on the elderly in the spring, the coronavirus is increasingly infecting American children and teens in a trend authorities say appears driven by school reopenings and the resumption of sports, playdates and other activities. https://t.co/QxCaNZTZeC"
1311062178615578624,2020-09-29 21:55:56,RT @aj3currier: someone please tell me how it is fair that my boyfriend got docked from multiple professors for missing class/assignments w…
1311059738025578497,2020-09-29 21:46:14,someone please tell me how it is fair that my boyfriend got docked from multiple professors for missing class/assignments when we had COVID? we were absolutely down for the count.. make it make sense.
1311059187456249856,2020-09-29 21:44:03,"#Regeneron says its #COVID19 treatment reduces viral levels, improves ""Mild to Moderate"" symptoms and will seek EUA from FDA https://t.co/dpHNBezZ8Y #Leronlimab #CytoDyn"
1311058612567982082,2020-09-29 21:41:46,"The next few months could get ugly. Here's how to stay safe as the pandemic rages on

https://t.co/CGwhaiqW8i"
1311057817244106753,2020-09-29 21:38:36,"Titans, Vikings shut down in-person activities after NFL's first Covid-19 outbreak

https://t.co/13zCjuuszR"
